City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,2021-03-10 02:52:14,42.097,-79.2353,44.6,49,1,4.81,clear sky
1,Matay,EG,2021-03-10 02:59:53,28.419,30.7792,63.82,26,0,4.7,clear sky
2,Moultonborough,US,2021-03-10 02:56:23,43.7548,-71.3967,37.4,64,1,6.91,clear sky
3,Qaanaaq,GL,2021-03-10 02:59:54,77.484,-69.3632,3.7,81,60,3.87,broken clouds
4,Yaan,NG,2021-03-10 02:53:01,7.3833,8.5667,79.07,77,0,9.44,clear sky
5,Bredasdorp,ZA,2021-03-10 02:59:54,-34.5322,20.0403,71.6,60,59,17.27,broken clouds
6,Billings,US,2021-03-10 02:58:03,45.7833,-108.5007,39.99,48,40,5.75,scattered clouds
7,Homer,US,2021-03-10 02:54:07,59.6425,-151.5483,39.2,75,90,4.74,light rain
8,Pangai,TO,2021-03-10 02:59:55,-19.8,-174.35,82.4,54,20,5.75,few clouds
9,Mataura,NZ,2021-03-10 02:48:30,-46.1927,168.8643,57.99,80,92,11.01,overcast clouds
10,Hobart,AU,2021-03-10 02:59:55,-42.8794,147.3294,70.0,45,20,10.36,few clouds
11,Mendoza,AR,2021-03-10 02:59:55,-32.8908,-68.8272,77.0,57,0,5.41,clear sky
12,Busselton,AU,2021-03-10 02:59:55,-33.65,115.3333,86.0,49,96,1.99,overcast clouds
13,Dikson,RU,2021-03-10 02:53:00,73.5069,80.5464,-23.21,88,100,8.39,overcast clouds
14,Rikitea,PF,2021-03-10 02:59:56,-23.1203,-134.9692,80.62,80,13,15.82,few clouds
15,Pevek,RU,2021-03-10 02:49:57,69.7008,170.3133,-11.18,85,100,11.21,overcast clouds
16,Ribeira Grande,PT,2021-03-10 02:59:56,38.5167,-28.7,60.94,89,99,17.2,overcast clouds
17,Hermanus,ZA,2021-03-10 02:59:56,-34.4187,19.2345,63.0,96,82,11.01,broken clouds
18,Nurota,UZ,2021-03-10 02:59:57,40.5614,65.6886,42.8,87,88,11.5,overcast clouds
19,Iqaluit,CA,2021-03-10 02:59:57,63.7506,-68.5145,8.6,72,90,7.16,light snow
20,North Bend,US,2021-03-10 02:53:33,43.4065,-124.2243,44.6,87,20,6.91,few clouds
21,Upernavik,GL,2021-03-10 02:59:57,72.7868,-56.1549,10.33,84,100,3.38,overcast clouds
22,Carnarvon,AU,2021-03-10 02:59:58,-24.8667,113.6333,82.4,69,0,8.05,clear sky
23,Beringovskiy,RU,2021-03-10 02:59:58,63.05,179.3167,-12.26,81,0,3.04,clear sky
24,Pulandian,CN,2021-03-10 02:59:58,39.3953,121.9669,50.0,62,92,8.95,mist
25,Bethel,US,2021-03-10 02:52:55,41.3712,-73.414,41.0,65,1,3.74,clear sky
26,Dukat,RU,2021-03-10 02:59:58,62.55,155.55,-2.0,84,0,6.96,clear sky
27,Loandjili,CG,2021-03-10 02:59:59,-4.7561,11.8578,80.6,89,75,3.44,broken clouds
28,Punta Arenas,CL,2021-03-10 02:53:02,-53.15,-70.9167,51.8,76,40,5.75,light rain
29,Bage,BR,2021-03-10 02:59:59,-31.3314,-54.1069,64.4,88,0,6.91,clear sky
30,Kapaa,US,2021-03-10 02:59:59,22.0752,-159.319,71.6,94,90,19.57,mist
31,Barrow,US,2021-03-10 02:58:54,71.2906,-156.7887,14.0,48,1,14.97,clear sky
32,Tautira,PF,2021-03-10 02:53:06,-17.7333,-149.15,86.0,66,75,11.5,broken clouds
33,Flinders,AU,2021-03-10 02:50:27,-34.5833,150.8552,75.99,60,75,9.22,broken clouds
34,Marawi,PH,2021-03-10 02:55:11,7.9986,124.2928,82.0,79,44,5.01,scattered clouds
35,Carolina,PR,2021-03-10 03:00:00,18.3808,-65.9574,78.8,73,40,13.8,scattered clouds
36,At-Bashi,KG,2021-03-10 03:00:00,41.1702,75.8106,27.36,86,99,2.64,overcast clouds
37,Malinovoye Ozero,RU,2021-03-10 03:00:00,51.6753,79.7825,19.27,94,40,9.46,scattered clouds
38,Castro,BR,2021-03-10 02:53:05,-24.7911,-50.0119,55.9,91,3,2.64,clear sky
39,Semey,KZ,2021-03-10 03:00:01,50.4111,80.2275,19.4,93,0,6.71,mist
40,New Norfolk,AU,2021-03-10 02:52:49,-42.7826,147.0587,70.0,45,20,10.36,few clouds
41,Ushuaia,AR,2021-03-10 02:57:04,-54.8,-68.3,59.0,51,40,4.14,scattered clouds
42,Torrington,US,2021-03-10 03:00:02,41.8007,-73.1212,35.01,70,4,1.99,clear sky
43,Lebu,CL,2021-03-10 03:00:02,-37.6167,-73.65,58.86,88,93,4.68,overcast clouds
44,Vila Franca Do Campo,PT,2021-03-10 03:00:04,37.7167,-25.4333,59.0,94,75,11.5,broken clouds
45,Biak,ID,2021-03-10 03:00:05,-0.9131,122.8766,82.53,65,99,1.01,overcast clouds
46,Georgetown,MY,2021-03-10 03:00:06,5.4112,100.3354,89.6,48,20,6.91,few clouds
47,Arraial Do Cabo,BR,2021-03-10 03:00:06,-22.9661,-42.0278,71.6,100,75,2.3,broken clouds
48,Abalak,RU,2021-03-10 03:00:07,58.1286,68.5944,-2.24,93,82,4.09,broken clouds
49,Bom Jesus,BR,2021-03-10 03:00:07,-9.0744,-44.3586,72.95,86,8,1.25,light rain
50,Yining,CN,2021-03-10 03:00:08,29.0361,114.5636,57.88,71,100,1.88,overcast clouds
51,Katherine,AU,2021-03-10 03:00:09,-14.4667,132.2667,87.8,62,75,5.75,broken clouds
52,Bonthe,SL,2021-03-10 03:00:09,7.5264,-12.505,78.51,88,28,2.95,scattered clouds
53,Chernushka,RU,2021-03-10 03:00:10,56.5072,56.0766,1.9,92,96,13.35,overcast clouds
54,Port Alfred,ZA,2021-03-10 03:00:10,-33.5906,26.891,73.33,51,0,10.87,clear sky
55,Macapa,BR,2021-03-10 02:58:42,0.0389,-51.0664,78.8,89,75,4.61,broken clouds
56,Albany,US,2021-03-10 03:00:11,42.6001,-73.9662,37.4,70,20,4.61,few clouds
57,Camalu,MX,2021-03-10 03:00:12,30.85,-116.0667,51.01,53,0,3.0,clear sky
58,Tuatapere,NZ,2021-03-10 03:00:12,-46.1333,167.6833,57.99,74,84,15.01,light rain
59,Northam,GB,2021-03-10 02:53:00,51.0333,-4.2167,46.99,92,100,17.0,light rain
60,Hilo,US,2021-03-10 03:00:07,19.7297,-155.09,71.6,88,90,3.44,mist
61,Butaritari,KI,2021-03-10 03:00:13,3.0707,172.7902,81.95,72,100,8.99,light rain
62,Atuona,PF,2021-03-10 03:00:14,-9.8,-139.0333,79.84,76,39,19.8,scattered clouds
63,Geraldton,AU,2021-03-10 03:00:14,-28.7667,114.6,82.4,65,0,11.5,clear sky
64,Preobrazheniye,RU,2021-03-10 03:00:15,42.9019,133.9064,36.34,68,0,7.9,clear sky
65,Yellowknife,CA,2021-03-10 03:00:15,62.456,-114.3525,-7.6,64,20,5.75,few clouds
66,Lompoc,US,2021-03-10 02:56:23,34.6391,-120.4579,53.6,66,1,5.75,clear sky
67,Taunggyi,MM,2021-03-10 03:00:16,20.7833,97.0333,80.58,22,0,1.63,clear sky
68,Derzhavinsk,KZ,2021-03-10 03:00:17,51.1,66.3167,11.91,96,96,3.56,overcast clouds
69,Itaituba,BR,2021-03-10 03:00:17,-4.2761,-55.9836,75.2,94,75,1.16,broken clouds
70,Vaini,TO,2021-03-10 02:53:04,-21.2,-175.2,82.4,57,20,14.97,few clouds
71,Taltal,CL,2021-03-10 02:53:18,-25.4,-70.4833,64.83,79,0,1.45,clear sky
72,Dutlwe,BW,2021-03-10 03:00:18,-23.9833,23.9,71.69,28,37,4.25,scattered clouds
73,Salalah,OM,2021-03-10 02:54:02,17.0151,54.0924,71.6,37,0,2.3,clear sky
74,Buala,SB,2021-03-10 02:54:01,-8.145,159.5921,83.64,75,58,1.03,moderate rain
75,Caldas Novas,BR,2021-03-10 03:00:18,-17.7417,-48.625,67.44,95,100,1.52,light rain
